Unnamed: 0,drama_name,org_net,director,screenwriter,start_dt,end_dt,aired_on,year,tot_eps,time_per_ep,synopsis,actor_list,kor_title
0,Sing My Crush,,['So Joon Moon'],,"Aug  2, 2023","Aug  2, 2023",Wednesday,2023,8,188.0,"Follow the story of acquaintances Ba Ram and Han Tae after an incident occurred during their school years. Now that they are adults, will Ba Ram be able to suppress the feelings for Han Tae that he has harbored for so long?(Source: BLUPDATE2022 Twitter)~~ Adapted from the webtoon ""Ttarabaram"" (따라바람) by Geom Dung (검둥). ","['Jang Do Yoon', 'Son Hyun Woo']",따라바람
1,D.P. Season 2,Netflix,,['Kim Bo Tong'],"Jul 28, 2023","Jul 28, 2023",Friday,2023,6,500.0,"This unfolding story ensues when military desertion arrest squad members (DP), Jun Ho and Ho Yeol, run across absurdities and unchangeable reality on a regular basis.(Source: Namuwiki; Edited by Krystale Mitaesa at MyDramaList)~~ Adapted from the webtoon ""D.P Dog Day"" (D.P 개의 날) by Kim Bo Tong (김보통). ","['Jung Hae In', 'Koo Kyo Hwan', 'Kim Sung Kyun', 'Son Suk Ku']",디피 시즌2
2,Shadow Detective Season 2,Disney+ Hulu,['Han Dong Hwa'],"['Song Jung Woo', 'Hwang Seol Hun']",2023-07-05,2023-07-26,Wednesday,2023,8,412.0,"Unfolds the ultimate counterattack of veteran homicide detective Kim Taek Rok, who has returned to investigate the secret mastermind behind the blackmailer 'Friend'.(Source: Sports Chosun; edited by Krystale Mitaesa at MyDramaList) ","['Lee Sung Min', 'Jung Jin Young', 'Kyung Soo Jin', 'Lee Hak Joo', 'Kim Shin Rok']",형사록 시즌2
3,Celebrity,Netflix,['Kim Chul Gyu'],['Kim Yi Young'],"Jun 30, 2023","Jun 30, 2023",Friday,2023,12,225.0,Fame. Money. Power. One young woman fights to become the next hottest celebrity in the glamorous yet scandalous world of influencers in Seoul.(Source: Netflix) ,"['Park Gyu Young', 'Kang Min Hyuk', 'Lee Chung Ah', 'Lee Dong Gun', 'Jeon Hyo Sung']",셀러브리티
4,Numbers,MBC,['Kim Chil Bong'],"['Oh Hye Seok', 'Jung An']",2023-06-23,2023-07-29,"Friday, Saturday",2023,12,300.0,"Ho Woo is the first and only high school graduate accountant to join the top accounting firm in the country. With his outstanding memory, observation, adaptation, and sense of justice that ordinary accountants rarely have, he is more than a perfect employee. Je Kyun and Seung Jo are father and son, and Je Kyun is the Vice President of the accounting firm. Despite the fact that he is well-known for his generous personality, he is a man who does not hesitate to get what he wants. Seung Jo is the ace accountant of the firm who's quite the opposite of Ho Woo. These two work together with numbers to achieve their own goals. Their goals are different, but they are headed towards the same target. Will they be able to serve justice in this accounting firm?(Source: Viu)","['Kim Myung Soo', 'Choi Jin Hyuk', 'Choi Min Soo', 'Yeonwoo', 'Kim Yoo Ri']",넘버스: 빌딩숲의 감시자들
5,Revenant,SBS,"['Lee Jung Rim', 'Kim Jae Hong']",['Kim Eun Hee'],2023-06-23,2023-07-29,"Friday, Saturday",2023,12,350.0,"When the door to another world opens, demons exist there. Ku San Young is possessed by one of those demons. Yeom Hae Sang can see the demon which has possessed Ku San Young. They try to figure out the truth behind the mysterious deaths related to the five sacred objects.Ku San Young is busy working part-time during the day and studying to become a low-ranking public officer at night. One day, she receives some articles left behind by her late father. Since then, mysterious deaths take place around her. She also finds herself slowly changing.Yeom Hae Sang comes from a rich background. He teaches Korean folklore at a university. Since he was a child, he has had the special ability to see demons in this world. He even saw his mother get killed by a demon in front of him when he was young. Yeom Hae Sang meets Ku San Young and he faces the demon which killed his mother.Lee Hong Sae is a lieutenant in the violent crimes investigation team. He only cares about advancing his career in the police department. Due to Ku San Young and Yeom Hae Sang, he gets involved in mysterious cases.(Source: AsianWiki)","['Kim Tae Ri', 'Oh Jung Se', 'Hong Kyung']",악귀
6,Adult Kids,,,,2023-06-19,2023-08-07,Monday,2023,8,75.0,A hyper-realistic drama depicting the daily lives of clumsy women in their 30s in the fashion industry and their joys and sorrows at work.(Source: HanCinema) ,"['Ryu Hye Young', 'Yoon Sang Jung', 'Shin Do Hyun', 'Baek Soo Hee']",어른애들
7,Lies Hidden in My Garden,ENA Genie TV,['Jung Ji Hyun'],['Ji Ah Nee'],2023-06-19,2023-07-11,"Monday, Tuesday",2023,8,450.0,"Moon Joo Ran grew up in a wealthy family. She is now a housewife and married to Jae Ho, who works as a doctor. They live in a house with a yard. Her peaceful daily life is abruptly shaken when she notices a strange smell in her backyard. This leads to Moon Joo Ran eventually investigating her husband and meeting Chu Sang Eun. Chu Sang Eun lives a completely different life from Moon Joo Ran. She grew up in a poor environment and, even now, suffers from financial difficulties. She lives in a shabby rented apartment with her husband, Kim Yun Beom. Kim Yun Beom works for a pharmaceutical company. Sang Eun is subject to domestic violence by her husband, Kim Yun Beom. Her life is completely miserable. One day, she receives a phone call that Kim Yun Beom is dead.(Source: AsianWiki)~~ Adapted from the novel ""Lies Hidden in My Backyard"" (마당이 있는 집) by Kim Jin Yeong (김진영).","['Kim Tae Hee', 'Im Ji Yeon', 'Kim Sung Oh', 'Choi Jae Rim']",마당이 있는 집
8,King the Land,jTBC Netflix TVING,"['Im Hyun Wook', 'Choi Sun Min']",['Choi Rom'],2023-06-17,2023-08-06,"Saturday, Sunday",2023,16,300.0,"Heir Goo Won cannot stand fake smiles. When he meets Cheon Sa Rang, her sincere smile is at the ready. The pair seek to create happy moments where they can smile brightly at each other. King of the Land is a VVIP business lounge, a paradise catering to wealthy hoteliers. It is owned by The King Group, with hotels, distribution companies, and an airline in its portfolio. Now Goo Won has been thrown into an inheritance tug-of-war. With his brilliant mind,innate grace, and captivating charm, he has everything but lacks common sense when dating.Cheon Sa Rang makes the world brighter with just her smile. She is thrilled to land a job at the King Hotel, where she had some of her happiest times as a child. She must now put those sweet memories away and mature quickly to face the frequent workplace prejudices and misunderstandings that come her way. ","['Lee Jun Ho', 'Im Yoon Ah']",킹더랜드
9,See You in My 19th Life,Netflix TVING tvN,['Lee Na Jung'],"['Han Ah Reum', 'Choi Young Rim']",2023-06-17,2023-07-23,"Saturday, Sunday",2023,12,350.0,"Ban Ji Eum has an extraordinary ability: she can remember the memories of all her past lives. Repeating her reincarnation for nearly a thousand years, Ban Ji Eum has been living all her lives diligently. After her previous life is cut short by a tragic accident, she sets out to reconnect with the people of her past life in her current one, and decides to find a man named Moon Seo Ha, whom she met in her 18th life. Will memories of her 18th life sabotage romance in her 19th? Or will love endure across different lives?On the other side, there is also Yoon Cho Won, a landscape architect and the younger sister of Yoon Joo Won, whose life collapsed after her older sister's death. She is courageous and kind, even after facing the death of her beloved sister, but she struggles to maintain her brightness. When Yoon Cho Won meets Ban Ji Eum by chance and sees her older sister in her, she wonders about Ban Ji Eum’s identity.Then there's Ha Do Yoon, Moon Seo Ha’s secretary and best friend since childhood. Although they come from completely different backgrounds, Ha Do Yoon feels some kind of affinity for him. (Source: Soompi; Webtoon.com)~~ Adapted from the webtoon ""See You in My 19th Life"" (이번 생도 잘 부탁해) by Lee Hye (이혜).","['Shin Hye Sun', 'Ahn Bo Hyun', 'Ha Yoon Kyung', 'Ahn Dong Goo']",이번 생도 잘 부탁해
